,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
123,23,0.369,3.7,1.4,3.2,0.1,1.4,0.414,9.1,3.8,0.841,1.8,1.5,583,22.1,0.4,2.0,10.4,Aaron Brooks *,1.8,0.6,1.7,-
124,24,0.158,0.0,0.0,1.0,1.2,5.9,0.554,8.0,4.4,0.679,2.2,1.5,632,26.3,2.2,2.2,10.4,Marcin Gortat *,8.1,0.5,1.2,-
125,25,0.5,0.0,0.0,1.7,1.6,5.5,0.495,8.5,4.2,0.601,3.1,1.9,152,29.1,2.3,2.7,10.3,Nerlens Noel *,7.8,1.7,2.0,PHI
126,26,0.334,2.3,0.8,4.1,0.1,1.9,0.431,9.0,3.9,0.798,2.2,1.8,244,20.3,0.3,1.6,10.3,Dennis Schroder *,2.2,0.7,2.1,ATL
127,27,0.25,0.0,0.0,1.4,1.8,4.1,0.464,8.7,4.0,0.754,2.8,2.1,647,25.1,2.3,3.2,10.1,Roy Hibbert *,6.4,0.4,1.6,-
128,28,0.12,0.0,0.0,2.3,1.6,6.4,0.534,8.3,4.4,0.556,2.2,1.2,666,29.2,2.6,3.2,10.1,Andrew Bogut *,8.9,0.7,1.8,-
129,29,0.29,1.1,0.3,6.3,0.3,2.8,0.436,9.5,4.1,0.578,2.5,1.4,194,29.6,1.1,2.2,10.1,Elfrid Payton *,3.9,1.4,2.3,ORL
130,30,0.338,1.2,0.4,0.8,0.3,1.7,0.49,8.8,4.3,0.736,1.3,1.0,112,21.5,1.3,1.8,10.0,T.J. Warren *,3.0,0.8,0.7,PHX
131,31,0.429,4.6,2.0,1.8,0.3,2.8,0.442,7.8,3.4,0.879,1.3,1.1,997,26.6,0.3,2.2,10.0,Kyle Korver *,3.1,0.7,1.1,-
132,32,0.362,3.6,1.3,1.0,0.3,2.0,0.42,8.6,3.6,0.816,1.7,1.4,517,19.9,0.5,1.9,9.9,Gerald Green *,2.5,0.5,1.2,-
133,33,0.311,2.1,0.6,8.2,0.1,3.5,0.369,8.3,3.1,0.818,3.8,3.1,311,31.5,0.7,2.6,9.8,Ricky Rubio *,4.3,2.2,2.7,MIN
