,index,3P%,3PA,3PM,AST,BLK,DRB,FG%,FGA,FGM,FT%,FTA,FTM,GP,MIN,ORB,PF,PTS,Player,REB,STL,TOV,Team
82,82,0.358,2652,950,2059,412,2464,0.439,5650,2480,0.836,1277,1068,587,18517.6,662,1094,6978,Nicolas Batum *,3126,549,1071,-
83,83,0.313,620,194,2710,50,1456,0.437,5368,2345,0.79,2600,2055,652,15562.2,332,904,6939,Ramon Sessions *,1788,451,1136,-
84,84,0.38,2872,1091,474,192,1809,0.424,5645,2392,0.863,1184,1022,524,13827.1,1089,1044,6897,Ryan Anderson *,2898,293,528,-
85,85,0.352,1294,455,2971,192,1090,0.447,5533,2473,0.839,1768,1484,556,14734.1,177,1039,6885,Jeff Teague *,1267,676,1234,-
86,86,0.349,1325,463,2807,71,1385,0.463,5860,2711,0.832,1199,997,816,18007.6,307,1265,6882,Beno Udrih *,1692,569,1162,-
87,87,0.12,25,3,1516,1066,4251,0.534,5514,2945,0.556,1490,828,666,19447.3,1709,2111,6721,Andrew Bogut *,5960,433,1172,-
88,88,0.36,655,236,349,1368,2808,0.52,5396,2806,0.748,1085,812,563,16298.7,1343,1592,6660,Serge Ibaka *,4151,244,715,-
89,89,0.34,1867,634,851,321,2038,0.443,5838,2585,0.771,1097,846,479,14891.7,551,1356,6650,Wilson Chandler *,2589,361,700,-
90,90,0.374,1119,419,2531,74,1134,0.467,5230,2444,0.851,1546,1316,525,15460.5,250,873,6623,Darren Collison *,1384,577,1105,-
91,91,0.362,1272,460,3134,49,1095,0.459,5172,2372,0.768,1833,1407,519,15285.7,333,836,6611,Ty Lawson *,1428,604,1096,-
92,92,0.158,19,3,643,779,3725,0.554,5070,2809,0.679,1399,950,632,16641.5,1389,1410,6571,Marcin Gortat *,5114,315,757,-
93,93,0.25,24,6,883,1141,2626,0.464,5612,2603,0.754,1791,1350,647,16239.9,1516,2046,6562,Roy Hibbert *,4142,242,1031,-
94,94,0.0,24,0,1174,326,3410,0.463,4931,2283,0.748,2641,1976,926,19758.3,2109,2378,6542,Zaza Pachulia *,5519,666,1275,-
95,95,0.355,2543,903,784,203,1309,0.417,5673,2364,0.804,1130,908,671,13854.6,308,1474,6539,C.J. Miles *,1617,504,627,-
96,96,0.367,1358,498,2829,164,1252,0.438,5869,2572,0.794,1085,862,461,14808.3,369,1073,6504,Jrue Holiday *,1621,663,1220,-
97,97,0.38,1803,686,1870,169,1499,0.453,5081,2300,0.801,1516,1215,566,16311.1,318,1212,6501,George Hill *,1817,522,728,-
98,98,0.367,2104,772,836,196,1663,0.416,4691,1951,0.858,2114,1814,431,13345.2,333,838,6488,Danilo Gallinari *,1996,361,568,-
99,99,0.288,205,59,513,722,2210,0.513,4800,2461,0.783,1909,1495,297,10194.0,767,734,6476,Anthony Davis *,2977,393,508,NOP
100,0,0.091,33,3,721,247,4094,0.492,5336,2623,0.757,1619,1225,827,21352.9,1599,2020,6474,Udonis Haslem *,5693,419,796,MIA
101,1,0.211,57,12,600,473,2257,0.498,5027,2502,0.831,1683,1398,730,16112.6,1116,1350,6414,Brandon Bass *,3373,286,704,-
102,2,0.285,1564,445,1089,189,1437,0.424,5673,2404,0.711,1545,1099,669,16351.9,523,1494,6352,Corey Brewer *,1960,870,848,-
103,3,0.281,398,112,1007,320,1715,0.477,5046,2407,0.716,1829,1310,760,16797.2,916,1805,6236,Tony Allen *,2631,1093,1049,-
104,4,0.346,710,246,619,248,1764,0.455,5494,2500,0.759,1201,912,484,11542.1,535,1069,6158,Michael Beasley *,2299,289,826,-
105,5,0.37,1609,596,626,217,2319,0.445,5199,2312,0.77,1153,888,562,13677.1,1044,1414,6108,Ersan Ilyasova *,3363,393,561,-
106,6,0.389,1718,668,1005,173,1366,0.45,5179,2330,0.846,917,776,633,17418.4,287,1087,6104,Courtney Lee *,1653,640,612,-
107,7,0.369,2135,788,1862,86,794,0.414,5289,2188,0.841,1069,899,583,12875.7,240,1153,6063,Aaron Brooks *,1034,345,964,-
108,8,0.375,2029,761,2407,24,940,0.404,4787,1936,0.867,1506,1305,612,14644.0,157,932,5938,D.J. Augustin *,1097,370,927,-
109,9,0.401,1865,748,1131,127,1669,0.47,4596,2162,0.732,1165,853,706,17086.0,738,1296,5925,Jared Dudley *,2407,615,648,-
110,10,0.352,991,349,1239,642,2834,0.457,5259,2401,0.712,910,648,658,15224.8,976,1681,5799,Spencer Hawes *,3810,261,955,-
111,11,0.383,2110,808,996,40,1095,0.425,4865,2066,0.823,1035,852,604,13970.4,137,921,5792,Marco Belinelli *,1232,351,622,-
112,12,0.351,1712,601,2388,18,1146,0.422,5211,2201,0.801,949,760,673,13061.8,210,988,5763,J.J. Barea *,1356,263,969,-
113,13,0.358,2051,735,675,61,940,0.425,5003,2124,0.83,924,767,483,11297.5,407,739,5750,Marcus Thornton *,1347,404,491,-
114,14,0.327,657,215,946,174,1319,0.443,4805,2129,0.793,1449,1149,494,12951.7,293,859,5622,Gerald Henderson *,1612,338,604,-
115,15,0.1,10,1,381,1141,4301,0.67,3370,2259,0.429,2512,1077,632,17326.1,1942,1707,5596,DeAndre Jordan *,6243,380,797,LAC
116,16,0.0,15,0,1785,831,3659,0.491,4302,2111,0.701,1840,1290,606,17619.7,2024,1732,5512,Joakim Noah *,5683,504,1059,-
117,17,0.394,1127,444,753,251,1779,0.495,4088,2025,0.846,1173,992,360,10878.8,469,630,5486,Kawhi Leonard *,2248,639,454,SAS
118,18,0.304,674,205,1878,117,2270,0.432,5007,2163,0.781,1087,849,506,14338.0,294,1032,5380,Evan Turner *,2564,422,985,-
119,19,0.329,890,293,1012,162,1197,0.446,3879,1729,0.825,1929,1591,361,11462.4,508,522,5342,Jimmy Butler *,1705,505,481,CHI
120,20,0.21,100,21,930,468,2908,0.533,4114,2191,0.727,1247,906,885,18460.8,1753,2490,5309,Nick Collison *,4661,445,868,OKC
121,21,0.326,215,70,828,745,2520,0.572,3889,2225,0.675,1139,769,703,15792.3,1500,2177,5289,Amir Johnson *,4020,435,788,-
122,22,0.27,159,43,543,445,2840,0.464,4384,2036,0.7,1582,1108,773,13857.2,1360,1417,5223,Kris Humphries *,4200,317,681,-
123,23,0.143,21,3,477,609,2165,0.509,4103,2089,0.667,1563,1042,454,11724.9,1113,1290,5223,Derrick Favors *,3278,363,694,-
124,24,0.419,1886,790,484,75,900,0.448,4286,1922,0.876,670,587,544,12029.4,304,881,5221,Anthony Morrow *,1204,306,379,-
125,25,0.083,24,2,551,686,2172,0.494,4266,2107,0.694,1275,885,546,13743.9,1303,1422,5101,Taj Gibson *,3475,290,680,CHI
126,26,0.362,1866,675,516,154,1015,0.42,4424,1859,0.816,860,702,517,10307.5,267,989,5095,Gerald Green *,1282,273,622,-
127,27,0.0,5,0,378,743,1755,0.528,3851,2035,0.761,1220,928,586,13177.2,1470,1225,4998,Robin Lopez *,3225,153,603,-
128,28,0.342,278,95,390,314,1680,0.465,4147,1929,0.798,1157,923,611,9328.1,892,1349,4876,Marreese Speights *,2572,169,533,-
129,29,0.323,778,251,692,249,1661,0.445,4158,1849,0.763,1051,802,408,10547.4,570,1166,4751,Markieff Morris *,2231,388,694,-
130,30,0.368,1325,487,662,84,926,0.443,4334,1920,0.778,537,418,393,11008.6,250,840,4745,Avery Bradley *,1176,423,540,BOS
131,31,0.396,1349,534,852,85,791,0.43,4041,1737,0.786,854,671,280,9227.5,213,589,4679,Bradley Beal *,1004,281,513,WAS
132,32,0.286,14,4,230,540,2760,0.551,3594,1981,0.387,1612,624,343,10231.8,1595,1060,4590,Andre Drummond *,4355,411,518,DET
133,33,0.118,17,2,406,346,2060,0.543,3390,1840,0.651,1360,885,381,9958.2,1222,996,4567,Kenneth Faried *,3282,305,547,DEN
134,34,0.024,42,1,732,405,3003,0.51,3528,1801,0.631,1506,951,621,15018.3,1503,1622,4554,Anderson Varejao *,4506,536,590,-
135,35,0.326,95,31,237,190,1682,0.53,3488,1850,0.764,1057,808,412,8758.2,1082,869,4539,Enes Kanter *,2764,151,614,-
136,36,0.366,1138,416,1501,65,943,0.414,3688,1528,0.825,1116,921,513,10903.0,149,1059,4393,Jerryd Bayless *,1092,329,747,-
137,37,0.188,64,12,2152,250,1262,0.481,3700,1781,0.79,1021,807,660,14402.7,405,1244,4381,Shaun Livingston *,1667,499,907,-
138,38,0.374,1782,667,484,29,813,0.421,3409,1436,0.881,843,743,437,10535.7,129,551,4282,Jodie Meeks *,942,368,348,-
139,39,0.343,1198,411,1063,326,2225,0.448,3625,1625,0.733,769,564,713,16520.8,542,1229,4225,Thabo Sefolosha *,2767,784,665,-
140,40,0.377,1195,450,1410,65,894,0.418,3448,1442,0.808,989,799,566,11431.7,204,829,4133,C.J. Watson *,1098,529,614,-
141,41,0.368,1260,464,573,104,1598,0.442,3365,1487,0.675,917,619,484,10447.5,419,784,4057,Omri Casspi *,2017,312,523,-
142,42,0.0,8,0,336,322,2237,0.507,3090,1566,0.62,1423,882,425,12119.6,1446,1034,4014,Tristan Thompson *,3683,222,487,CLE
143,43,0.407,1952,795,692,335,1230,0.429,3201,1374,0.818,433,354,432,10727.0,237,710,3897,Danny Green *,1467,428,446,-
144,44,0.317,451,143,422,108,536,0.447,3113,1393,0.754,1279,964,201,7213.0,290,435,3893,Andrew Wiggins *,826,192,450,MIN
